employee_key,employee_name,gender,hire_date
1,Vlado Täsche,F,2024-04-26
2,Carola Höfig,M,2023-06-04
3,Prof. Rosemarie Hertrampf,M,2025-08-15
4,Hülya Jacob,M,2024-04-01
5,Dipl.-Ing. Irmtraut Kuhl,M,2020-04-15
6,Henri Schmiedt,F,2024-03-15
7,Fredi Gehringer,F,2025-01-15
8,Adriane Bachmann,M,2023-08-13
9,Sergio Tintzmann,M,2016-07-10
10,Elma Grein Groth MBA.,M,2017-07-27
11,Univ.Prof. Ariane Bachmann MBA.,F,2021-07-30
12,Dr. Wolf Girschner,F,2018-11-16
13,Dr. Ilias Lorch B.A.,M,2017-12-11
14,Sönke Häring-Ullrich,F,2022-11-23
15,Angela Drub,F,2018-10-29
16,Hubert Oderwald,M,2019-11-24
17,Kati Löchel MBA.,M,2020-07-09
18,Alfonso Bähr,F,2017-04-04
19,Slavko Eberhardt,F,2025-05-06
20,Cathrin Seidel-Wähner,M,2021-10-08
21,Prof. Ekkehart Schottin B.A.,M,2019-02-26
22,Friedhold Blümel,M,2026-01-16
23,Wibke Hecker-Christoph,F,2017-10-03
24,Magdalene Killer,F,2026-01-23
25,Marten Bähr,M,2023-03-27
26,Jessica Wulf,F,2021-07-04
27,Arzu Täsche,M,2019-11-10
28,Univ.Prof. Othmar Röhrdanz B.A.,M,2018-08-05
29,Frau Marianne Weinhage B.Eng.,F,2025-11-06
30,Kathleen Schwital-Juncken,F,2019-03-21
31,Mahmut Ring B.Sc.,F,2016-08-21
32,Milena Stiffel,F,2018-12-02
33,Karl Jessel,M,2019-06-16
34,Dr. Willibald Lachmann B.Eng.,M,2018-03-30
35,Angelika Bolzmann MBA.,M,2026-05-19
36,Elfie Hein MBA.,M,2025-02-02
37,Andre Löffler,F,2023-01-31
38,Angela Kensy-Hornig,M,2020-02-01
39,Frau Cläre Mülichen B.A.,F,2024-05-15
40,Jovan Förster,M,2017-04-06
41,Univ.Prof. Markus Nette,M,2025-04-03
42,Univ.Prof. Lilo Schlosser,M,2021-02-24
43,Heinz-Günther Thanel,F,2023-07-05
44,Janos Mälzer,F,2016-09-10
45,Änne Schmidtke-Klingelhöfer,M,2022-08-20
46,August Weihmann,F,2020-04-25
47,Prof. Kilian Ehlert,M,2025-01-25
48,Ilias Johann,M,2025-02-08
49,Dora Klingelhöfer,M,2021-07-01
50,Herr Klaus-Jürgen Oderwald B.Eng.,F,2022-02-03
51,Murat Kostolzin B.A.,F,2018-09-15
52,Leonore Eimer,M,2017-08-08
53,Prof. Antonietta Pohl,M,2021-06-27
54,Maurizio Müller,M,2023-05-02
55,Kirstin Lübs-Harloff,F,2019-09-02
56,Margrit Höfig,M,2018-12-23
57,Valerie Holt-Staude,F,2024-06-16
58,Herr Hartmuth Wirth,M,2023-04-25
59,Gunther Wulff-Karz,M,2022-02-24
60,Herr Adolf Gumprich B.Eng.,M,2021-10-04
61,Gudula Ladeck B.A.,F,2021-10-26
62,Lucia Dietz,F,2019-01-05
63,Janusz Pölitz,M,2023-08-30
64,Ing. Karl-Heinrich Rogge B.A.,F,2019-12-14
65,Dipl.-Ing. Otmar Fröhlich,F,2025-09-07
66,Jolanta Zirme B.A.,M,2025-10-30
67,Prof. Selma Stumpf B.A.,M,2019-05-11
68,Walter Römer,F,2017-11-06
69,Frau Tanja Nohlmans MBA.,M,2017-05-12
70,Ada Hecker,F,2023-02-16
71,Herr Wolfram Nohlmans,M,2019-04-26
72,Frau Jessica Jockel,F,2025-03-10
73,Aysel Mülichen,F,2019-09-01
74,Jan-Peter Heydrich,F,2022-09-27
75,Albert Bolander,M,2022-11-11
76,Thaddäus Conradi,M,2016-10-03
77,Serge Stumpf,F,2018-10-01
78,Frederic Rogner,M,2022-11-08
79,Traudl Anders,M,2022-05-12
80,Univ.Prof. Kaspar Fritsch B.Sc.,M,2017-04-09
81,Klaus Dieter Fischer,M,2020-01-10
82,Dr. Else Hövel B.A.,M,2021-02-18
83,Ing. Friedlinde Kostolzin,M,2022-12-03
84,Hilma Rose,F,2017-03-24
85,Hans-Günter Süßebier,M,2022-03-17
86,Edward Kuhl B.Eng.,M,2022-10-28
87,Francesca Niemeier B.Sc.,M,2022-09-07
88,Fritz Plath,M,2025-10-11
89,Ladislaus Gorlitz,F,2021-01-31
90,Stjepan Peukert,M,2023-06-12
91,Prof. Till Eigenwillig MBA.,M,2024-05-10
92,Karlfried Mude,M,2019-12-13
93,Kira Boucsein-Ernst,F,2021-10-26
94,Univ.Prof. Lucia Säuberlich,F,2020-03-29
95,Univ.Prof. Ortwin Mies,F,2017-08-27
96,Miguel Pärtzelt,F,2025-03-01
97,Univ.Prof. Raisa Kohl,M,2024-08-03
98,Ursula Reuter,F,2020-01-09
99,Sibel Scheuermann,F,2023-10-22
100,Linda Mohaupt,M,2020-12-21
101,Dr. Marta Stahr B.Sc.,F,2021-05-18
102,Frieda Beer MBA.,F,2016-11-12
103,Matthias Wähner B.A.,F,2021-09-19
104,Dr. Karl-Wilhelm Henck B.Eng.,M,2024-04-10
105,Marlis Davids,F,2021-02-23
106,Dipl.-Ing. Jacob Rose,M,2025-09-26
107,Ingrid Birnbaum,F,2021-06-22
108,Ellinor Lachmann,M,2020-12-09
109,Carolin Butte,M,2016-07-03
110,Cengiz Börner B.A.,M,2026-03-15
111,Juliane Mans,F,2018-08-26
112,Univ.Prof. Jaroslav Putz,F,2023-04-11
113,Univ.Prof. Reimund Stiffel,F,2025-05-06
114,Gerda Zahn,F,2025-11-23
115,Dipl.-Ing. Ludmila Wesack B.A.,F,2023-12-28
116,Jacob Stroh B.Sc.,M,2017-01-09
117,Sepp Thanel,M,2020-11-09
118,Hartwig Eckbauer,F,2023-03-13
119,Hajo Weinhage,M,2018-05-11
120,Evelyne Schomber,M,2019-04-17
121,Ing. Sylvia Meyer B.Sc.,M,2017-04-05
122,Katy Weinhold,F,2022-11-08
123,Bertram Trommler,M,2020-06-10
124,Ing. Leo Radisch,F,2020-11-14
125,Editha Hertrampf-Gutknecht,F,2022-10-14
126,Zdravko Schönland,M,2020-09-11
127,Dr. Magda Thies,M,2018-12-24
128,Wiebke Mielcarek-Gieß,M,2024-04-07
129,Catrin Rörricht-Stahr,F,2019-02-18
130,Tilman Trupp,M,2021-05-25
131,Hans-Gerhard Kuhl,F,2018-12-09
132,Anto Stiffel,F,2020-09-16
133,Jens-Peter Mosemann,M,2025-02-16
134,Adalbert Heuser,F,2017-08-29
135,Univ.Prof. Tilman Bien,M,2024-05-01
136,Uli Pohl,M,2021-03-27
137,Conrad Gerlach,F,2025-02-19
138,Karl-Georg Sauer,M,2017-04-05
139,Gert Beer,M,2022-12-13
140,Hanne-Lore Dörr,M,2018-05-19
141,Hüseyin Hellwig,F,2025-02-25
142,Univ.Prof. Elizabeth Cichorius B.Eng.,M,2019-06-05
143,Grete Jacob,M,2020-07-19
144,Dr. Stefano Haering,F,2019-10-01
145,Grete Schacht,F,2025-10-22
146,Natascha Scholtz,F,2017-03-22
147,Dipl.-Ing. Cornelia Barth,F,2017-05-06
148,Dagmar Heintze-Pieper,F,2023-05-17
149,Josefine Kühnert,M,2020-08-04
150,Hellmuth Hornig,F,2019-10-20
151,Cindy Junck,F,2019-02-03
152,Anton Roskoth,F,2024-12-11
153,Dörte Kuhl,F,2017-05-08
154,Ronald Kroker,M,2019-01-26
155,Univ.Prof. Polina Stoll,F,2022-12-26
