sales_rep_key,rep_name,hire_date
1,Martin Misicher B.Sc.,2021-02-08
2,Peer Heinz,2022-12-13
3,Dorle Christoph,2021-03-28
4,Alfred Becker,2022-12-04
5,Ing. Hans-Willi Beier,2020-12-18
6,Tillmann Flantz,2025-02-22
7,Ellen Staude,2022-10-23
8,Tatjana Gieß MBA.,2023-09-17
9,Herr Massimo Käster B.Sc.,2024-09-01
10,Karl-Ernst Mälzer,2022-07-27
11,Frank-Peter Stiffel,2021-12-21
12,Sabina Stumpf,2024-08-30
13,Zeljko Hamann,2022-01-24
14,Selim Krebs,2021-01-19
15,Dr. Slavko Klingelhöfer,2020-08-22
16,Rosalie Reinhardt,2023-01-08
17,Dipl.-Ing. Violetta Scholz B.Sc.,2022-06-30
18,Ing. Wilhelmine Wilmsen,2022-10-10
19,Annelie Gertz,2026-01-30
20,Ing. Kasimir Kramer B.Sc.,2019-02-13
21,Pius Otto B.Sc.,2021-04-10
22,Hilmar Fechner-Hecker,2024-02-14
23,Emilia Trubin-Häring,2021-02-22
24,Ewald Pölitz,2021-07-11
25,Frau Meral Jungfer MBA.,2024-11-01
26,Dr. Senta Scholtz,2019-04-18
27,Univ.Prof. Gunhild Jacobi Jäckel MBA.,2022-07-12
28,Karsten Löwer,2026-03-08
29,Frank-Michael Kohl,2020-07-06
30,Juliane Henschel,2023-01-22
31,Helene van der Dussen,2026-05-06
32,Dipl.-Ing. Johanna Kambs,2018-10-29
33,Dipl.-Ing. Raisa Margraf,2022-11-26
34,Dörte Walter,2022-09-08
35,Ottilie Kallert B.A.,2019-07-28
36,Enver Seifert,2023-05-19
37,Tadeusz Schmiedecke,2021-08-07
38,Calogero Kostolzin B.Sc.,2023-01-14
39,Beate Schulz-Köhler,2020-06-16
40,Birthe Weimer,2024-03-30
41,Kathi Gute-Mentzel,2019-12-27
42,Michel Harloff,2024-05-13
43,Anneke Rohleder MBA.,2022-02-02
44,Herbert Hölzenbecher,2021-01-18
45,Muharrem Finke,2026-02-13
46,Ing. Felicitas Junken,2018-10-15
47,Dipl.-Ing. Dorina Täsche,2021-06-30
48,Hans-Michael Gude B.Sc.,2021-07-22
49,Rocco Speer-Etzold,2020-02-23
50,Steffen Bohlander B.Eng.,2025-07-19
51,Herr Andy Heinrich,2026-03-20
52,Herr Gerd Seidel,2022-05-30
53,Jacob Vogt B.Sc.,2022-10-08
54,Dieter Heinrich,2025-10-18
55,Sarina Trapp B.A.,2020-01-30
56,Univ.Prof. Nadin Kensy B.Sc.,2024-05-24
57,Klaus-Werner Stolze-Scholtz,2019-02-14
58,Till Barth-Börner,2019-07-07
59,Agnes Weiß B.Eng.,2020-05-07
60,Ing. Michaele Albers B.Eng.,2021-01-15
61,Univ.Prof. Fabienne Schleich B.Sc.,2018-11-14
62,Enrico auch Schlauchin,2025-11-15
63,Eckard Lehmann-Salz,2019-09-19
64,Luitgard Henck,2021-11-08
65,Reginald Lübs-Rose,2022-11-03
66,Prof. Ahmed Süßebier B.Sc.,2020-04-08
67,Walther Hering B.A.,2024-03-09
68,Univ.Prof. Irena Weitzel,2025-02-12
69,Wieslaw Trapp MBA.,2024-08-10
70,Frieder Otto,2019-01-13
71,Laszlo Hövel,2023-11-10
72,Frau Thekla Steckel,2025-07-21
73,Janos Dörschner,2024-03-26
74,Hans-Uwe Tlustek,2023-08-20
75,Maria-Luise Flantz,2026-02-12
76,Dr. Vitus Heinz,2024-11-11
77,Univ.Prof. Johanne Salz B.Eng.,2018-12-25
78,Marius Siering B.A.,2024-03-08
79,Milos Rörricht,2018-10-23
80,Valerij Albers,2023-04-08
81,Dr. Ottmar Faust MBA.,2022-04-27
82,Karen Hellwig B.Sc.,2020-11-15
83,Elvira Ebert,2019-03-14
84,Gerhart Wieloch B.Eng.,2018-07-10
85,Elfi Neuschäfer,2020-06-23
86,Lilo Wiek,2020-10-21
87,Prof. Georgine Rohleder B.Eng.,2020-11-15
88,Frau Carolin Hande B.A.,2022-04-12
89,Artur Blümel B.Sc.,2022-07-12
90,Kornelius Davids,2021-06-19
91,Univ.Prof. Knut Matthäi B.A.,2018-07-23
92,Ing. Tomasz Conradi B.Sc.,2025-11-25
93,Silvio Jacobi Jäckel-Fechner,2023-10-30
94,Lissy Stumpf,2021-04-05
95,André Kohl,2021-08-05
96,Prof. Evelyne Holzapfel,2024-07-28
97,Reinhild Zirme MBA.,2025-08-21
98,Frau Marliese Mude,2024-10-09
99,Mechtild Gotthard MBA.,2025-11-18
100,Gerard Geißler,2019-06-24
101,Ing. Reinhild Trüb B.Sc.,2024-08-14
102,Moritz Jessel,2018-12-09
103,Jorge Wagenknecht,2018-12-25
104,Tülay Scheibe,2026-01-20
105,Andre Krebs B.Eng.,2023-07-23
106,Dipl.-Ing. Krista Fritsch B.Eng.,2019-04-01
107,Swantje Flantz,2025-08-22
108,Amir Jessel,2025-08-11
109,Frau Ruth Knappe,2023-05-06
110,Hans-Günter Beyer,2020-09-01
111,Margot Christoph,2022-07-09
112,Utz Heser,2022-04-09
113,Raik Holzapfel,2019-06-25
114,Tilman Putz,2022-04-23
115,Georgine Eberth MBA.,2025-02-06
116,Univ.Prof. Johannes Hermighausen,2020-04-08
117,Dr. Milan Gröttner B.Eng.,2020-11-02
118,Stephan Gertz,2022-11-21
119,Ansgar Hande,2023-12-10
120,Frau Alla Faust B.A.,2022-04-26
121,Kerstin Etzold,2025-01-27
122,Heinz-Jürgen Gertz,2020-01-23
123,Pawel Zirme,2022-03-22
124,Timm Pergande,2021-06-07
125,Denis Pechel MBA.,2025-12-25
126,Apollonia Kramer,2025-04-18
127,Ing. Siegfried Holt B.A.,2019-04-10
128,Lidija Dowerg,2024-12-10
129,Sieghard Jäntsch-Kensy,2024-03-12
130,Monika Hörle MBA.,2023-10-15
131,Dr. Erhard Blümel B.Eng.,2023-06-26
132,Tomislav Beyer B.Eng.,2025-01-02
133,James Drubin,2022-11-08
134,Edeltraut Karz,2021-05-10
135,Dr. Lisa Flantz,2018-07-02
136,Patric Weller,2021-05-11
137,Lore Bolnbach,2023-03-31
138,Paulina Henck,2026-03-12
139,Ernst Hamann B.Sc.,2022-01-07
140,Nicolai Reichmann MBA.,2019-11-19
141,Gerlind Lachmann,2024-05-26
142,Sophia Sorgatz,2024-09-04
143,Dr. Adelbert Schwital,2018-12-13
144,Cordula Ritter,2022-09-22
145,Univ.Prof. Marietta Sager B.A.,2024-02-16
146,Anne-Kathrin Hahn,2022-01-27
147,Heidelinde Junk,2025-05-04
148,Mirko Koch II B.Sc.,2019-01-31
149,Magnus Geisel,2020-07-06
150,Andrea Wagner,2018-10-31
151,Ing. Albert Adolph MBA.,2022-02-06
152,Rolf Stumpf,2025-01-17
153,Berend Warmer,2023-09-09
154,Herr Slobodan Margraf B.A.,2018-09-22
155,Dr. Christine Dehmel,2020-12-11
156,Univ.Prof. Rainer Hendriks MBA.,2021-06-02
157,Damaris Dobes,2025-05-19
158,Birte Rogge,2022-06-05
159,Univ.Prof. Dan Hermighausen,2021-06-24
160,Alexej Eimer,2026-06-19
161,Istvan Trub B.Eng.,2020-12-22
162,José Heidrich,2025-04-29
163,Dittmar Fiebig,2021-03-22
164,Agathe Steinberg,2022-12-16
165,Ing. Mareike Niemeier B.Eng.,2022-09-19
166,Ing. Artur Schuchhardt B.Sc.,2025-06-06
167,Dipl.-Ing. Gerold Girschner,2024-02-18
168,Lidwina Etzold,2019-05-11
169,Anneke Krebs,2025-06-12
170,Stilla Hörle,2024-03-31
171,Dipl.-Ing. Mario Scholz,2022-05-27
172,Linus Steinberg B.A.,2021-10-20
173,Samira Butte,2018-07-09
174,Natali Siering,2025-02-27
175,Roselinde Klapp,2022-03-13
176,Paul Weimer B.A.,2025-05-30
