account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,Aleksandr Weinhage,1,Privatkunde,Energy,WiesenAllee 27,Zwickau,East,08056,Kunde,279384,1,2021-11-12
ACC000002,Eleni Hauffer,2,Privatkunde,Energy,BirkenStraße 118,Traunstein,South,83278,Partner,205655,1,2021-02-25
ACC000003,Paul Dobes-Stiffel,3,Privatkunde,Energy,SonnenRing 93,Essen,West,45239,Interessent,352958,1,2021-11-27
ACC000004,Klemens Löffler,4,Privatkunde,Energy,RosenStraße 60,Düsseldorf,West,40477,Partner,270671,1,2020-09-20
ACC000005,Alexandre Davids,5,Privatkunde,Energy,KirchWeg 95,Hamburg,North,21109,Interessent,333306,1,2021-12-11
ACC000006,Eric Patberg B.Sc.,6,Privatkunde,Energy,GoetheRing 44,Oberursel,West,61440,Kunde,280325,1,2022-04-01
ACC000007,Orhan Siering MBA.,7,Privatkunde,Energy,SonnenGasse 143,Dortmund,West,44135,Partner,253833,1,2020-11-19
ACC000008,Dipl.-Ing. Klaus-Werner Holsten B.Sc.,8,Kleingewerbe,Energy,BahnhofAllee 103,Tübingen,South,72070,Partner,4435199,25,2021-10-29
ACC000009,Tintzmann GmbH & Co. KG,9,Kleingewerbe,Energy,LindenGasse 128,Böblingen,South,71032,Interessent,1979710,10,2020-04-14
ACC000010,Erika Förster,10,Privatkunde,Energy,BlumenRing 138,Wiesbaden,West,65183,Interessent,206319,1,2022-05-30
ACC000011,Woldemar Wilms B.Eng.,11,Privatkunde,Energy,KirchWeg 36,Karlsruhe,South,76227,Partner,281415,1,2021-06-27
ACC000012,Bastian Kramer,12,Kleingewerbe,Energy,BeethovenGasse 109,Düsseldorf,West,40477,Interessent,217087,100,2021-01-25
ACC000013,Hans Jürgen Kaul,13,Privatkunde,Energy,WaldAllee 142,Berlin,East,12347,Kunde,124025,1,2023-04-07
ACC000014,Rosalia Beyer,14,Privatkunde,Energy,BergAllee 88,Hamburg,North,20095,Interessent,326744,1,2023-07-27
ACC000015,Kathrin Ebert MBA.,15,Privatkunde,Energy,BlumenGasse 68,Grünwald,South,82031,Kunde,15457,1,2022-09-10
ACC000016,Karl-Dieter Hornig,16,Privatkunde,Energy,SonnenAllee 130,Emden,North,26721,Kunde,355293,1,2020-03-14
ACC000017,Leonie Gröttner,17,Privatkunde,Energy,WiesenRing 1,Berlin,East,10405,Interessent,125255,1,2020-12-25
ACC000018,Anatoli Spieß,18,Privatkunde,Energy,BrunnenAllee 62,Berlin,East,12555,Interessent,457917,1,2020-10-08
ACC000019,Ing. Arnulf Heintze B.Sc.,19,Gewerbekunde,Energy,ParkStraße 137,Sonthofen,South,87527,Interessent,725954,100,2022-12-12
ACC000020,Erika Meyer-Schweitzer,20,Privatkunde,Energy,BeethovenAllee 136,Dresden,East,01309,Interessent,62319,1,2021-09-06
ACC000021,Fröhlich Koch II GmbH,21,Gewerbekunde,Energy,WiesenGasse 52,Hamburg,North,21109,Kunde,4790603,100,2020-06-22
ACC000022,Steinberg GbR,22,Gewerbekunde,Energy,SchulRing 116,Dessau-Roßlau,East,06844,Partner,1438189,100,2023-12-05
ACC000023,Leif Schweitzer,23,Privatkunde,Energy,BergWeg 57,München,South,81241,Partner,450301,1,2022-08-20
ACC000024,Prof. Ottokar Henschel,24,Privatkunde,Energy,TannenStraße 132,Freiburg,South,79098,Partner,168301,1,2022-10-03
ACC000025,Dipl.-Ing. Hans-Herbert Hiller,25,Privatkunde,Energy,TalRing 122,Esslingen,South,73728,Partner,318913,1,2022-12-26
ACC000026,Univ.Prof. Gotthilf Wirth B.Sc.,26,Kleingewerbe,Energy,RathausAllee 109,Esslingen,South,73728,Interessent,4212856,50,2023-08-30
ACC000027,Herr Romuald Jopich MBA.,27,Privatkunde,Energy,SchillerStraße 104,Frankfurt am Main,West,60311,Interessent,247292,1,2020-07-01
ACC000028,Anne-Katrin Hahn,28,Privatkunde,Energy,SchulWeg 109,Leipzig,East,04229,Partner,456659,1,2021-02-15
ACC000029,Diana Sontag,29,Privatkunde,Energy,SchulRing 26,Pullach,South,82049,Interessent,318298,1,2022-07-17
ACC000030,Kruschwitz Seidel GmbH & Co. KG,30,Kleingewerbe,Energy,EichenWeg 105,Kempten,South,87435,Interessent,724590,100,2020-05-25
ACC000031,Franjo Etzold-Hentschel,31,Kleingewerbe,Energy,HauptPlatz 68,Köln,West,51065,Kunde,1604833,5,2022-06-21
ACC000032,Nathalie Schaaf,32,Privatkunde,Energy,BlumenRing 125,Bassum,North,27211,Kunde,429738,1,2022-12-26
ACC000033,Prof. Heiderose Klotz,33,Privatkunde,Energy,BlumenRing 16,München,South,81669,Interessent,432403,1,2020-12-06
ACC000034,Dr. Jaroslaw Oderwald B.Sc.,34,Privatkunde,Energy,WaldWeg 15,Leipzig,East,04103,Partner,256931,1,2023-12-02
ACC000035,Steffen Dörschner,35,Kleingewerbe,Energy,EichenPlatz 31,Wilhelmshaven,North,26382,Interessent,3919592,10,2022-11-10
ACC000036,Lukas Freudenberger-Stolze,36,Privatkunde,Energy,SeeStraße 108,Verden,North,27283,Partner,411460,1,2023-09-22
ACC000037,Prof. Anne Kraushaar,37,Privatkunde,Energy,LindenGasse 81,Berlin,East,13353,Partner,160842,1,2023-12-02
ACC000038,Lilli Möchlichen-Radisch,38,Privatkunde,Energy,SchulAllee 19,Reutlingen,South,72764,Kunde,197642,1,2021-10-10
ACC000039,Röhricht Atzler OHG mbH,39,Gewerbekunde,Energy,GoetheRing 55,Stegen,South,79252,Partner,2471117,25,2022-03-11
ACC000040,Drewes,40,Gewerbekunde,Energy,EichenAllee 73,Düsseldorf,West,40589,Kunde,2942501,5,2023-02-15
ACC000041,Paola Seifert,41,Privatkunde,Energy,HeideGasse 136,Gräfelfing,South,82166,Kunde,124140,1,2022-07-04
ACC000042,Beate Hornig,42,Privatkunde,Energy,MozartAllee 30,Bad Krozingen,South,79189,Partner,258392,1,2022-07-21
ACC000043,Dr. Insa Adler,43,Privatkunde,Energy,LindenGasse 88,Hamburg,North,22143,Kunde,193215,1,2020-10-16
ACC000044,Yvette Paffrath,44,Kleingewerbe,Energy,BahnhofStraße 109,Freising,South,85354,Interessent,4534269,100,2022-01-18
ACC000045,Prof. Urban Döring,45,Privatkunde,Energy,SonnenAllee 42,Hamburg,North,20095,Partner,186768,1,2023-02-15
ACC000046,Sibilla Segebahn,46,Privatkunde,Energy,SchillerStraße 39,Altenburg,East,04600,Kunde,347324,1,2020-11-12
ACC000047,Cornelius Köster B.A.,47,Privatkunde,Energy,MozartStraße 79,Essen,West,45127,Interessent,361159,1,2023-04-05
ACC000048,Krzysztof Junitz,48,Kleingewerbe,Energy,SchillerAllee 144,Frankfurt am Main,West,60311,Interessent,3062777,10,2022-09-10
ACC000049,Bähr Dowerg GmbH,49,Gewerbekunde,Energy,EichenWeg 46,Hamburg,North,21109,Partner,1702052,25,2021-07-12
ACC000050,Editha Bohlander,50,Privatkunde,Energy,HeidePlatz 64,Hamburg,North,20095,Partner,212037,1,2020-02-10
ACC000051,Prof. Wilhelm Budig B.Sc.,51,Privatkunde,Energy,ParkWeg 52,Stuttgart,South,70376,Interessent,332052,1,2022-08-26
ACC000052,Frau Zita Wieloch B.A.,52,Privatkunde,Energy,EichenWeg 7,Hamburg,North,22041,Kunde,252301,1,2020-05-17
ACC000053,Maurizio Müller-Rohleder,53,Privatkunde,Energy,WiesenAllee 90,Berlin,East,12347,Interessent,38738,1,2022-10-21
ACC000054,Ing. Jose Schlosser,54,Privatkunde,Energy,TannenStraße 30,Berlin,East,12347,Interessent,451161,1,2022-06-30
ACC000055,Dr. Uschi Riehl,55,Privatkunde,Energy,BirkenStraße 28,Hamburg,North,21029,Partner,420236,1,2020-06-14
ACC000056,Olaf Jockel MBA.,56,Privatkunde,Energy,SeeRing 30,Berlin,East,12043,Partner,124523,1,2022-04-22
ACC000057,Imelda Pohl,57,Privatkunde,Energy,HauptRing 138,Bad Vilbel,West,61118,Interessent,26158,1,2023-08-31
ACC000058,Bertha Hentschel B.A.,58,Privatkunde,Energy,RathausStraße 85,Potsdam,East,14467,Partner,42977,1,2022-12-08
ACC000059,Kambs AG,59,Kleingewerbe,Energy,RosenGasse 105,Berlin,East,14052,Kunde,3287258,25,2021-05-25
